"https://portal.dnb.de/bookviewer/view/1236320921/img/page/3/p.jpg","Kalligrafische Schriftübung Alphabet in Kursivschrift","","",""
"https://portal.dnb.de/bookviewer/view/1236320875/img/page/1/p.jpg","Titelblatt von Die Prinzessin auf der Erbse","","",""
"https://portal.dnb.de/bookviewer/view/1236320875/img/page/3/p.jpg","Titelblatt von Die Prinzessin auf der Erbse","","",""
"https://portal.dnb.de/bookviewer/view/1236320840/img/page/1/p.jpg","Skizze mit englischsprachigen Notizen","","",""
"https://portal.dnb.de/bookviewer/view/1236320840/img/page/3/p.jpg","Skizze mit englischsprachigen Notizen","","",""
"https://portal.dnb.de/bookviewer/view/1236320786/img/page/1/p.jpg","Kalligrafische Skizze","","",""
"https://portal.dnb.de/bookviewer/view/1236320786/img/page/3/p.jpg","Kalligrafische Skizze","","",""
"https://portal.dnb.de/bookviewer/view/1236320727/img/page/1/p.jpg","Salomos, Königs von Israel und Juda, güldne Worte von der Zeder bis zum Ysop","","",""
"https://portal.dnb.de/bookviewer/view/1236320727/img/page/3/p.jpg","Salomos, Königs von Israel und Juda, güldne Worte von der Zeder bis zum Ysop","","",""
"https://portal.dnb.de/bookviewer/view/1236320727/img/page/5/p.jpg","Salomos, Königs von Israel und Juda, güldne Worte von der Zeder bis zum Ysop","","",""
"https://portal.dnb.de/bookviewer/view/1236320727/img/page/7/p.jpg","Salomos, Königs von Israel und Juda, güldne Worte von der Zeder bis zum Ysop","","",""
"https://portal.dnb.de/bookviewer/view/1236320727/img/page/9/p.jpg","Salomos, Königs von Israel und Juda, güldne Worte von der Zeder bis zum Ysop","","",""
"https://portal.dnb.de/bookviewer/view/1236320689/img/page/1/p.jpg","Entwurfsskizze für einen Buchrücken","","",""
"https://portal.dnb.de/bookviewer/view/1236320689/img/page/3/p.jpg","Entwurfsskizze für einen Buchrücken","","",""
"https://portal.dnb.de/bookviewer/view/1236320646/img/page/1/p.jpg","Mörike - Der alte Turmhahn","","1919","Berlin"
"https://portal.dnb.de/bookviewer/view/1236320646/img/page/3/p.jpg","Mörike - Der alte Turmhahn","","1919","Berlin"
"https://portal.dnb.de/bookviewer/view/1236320646/img/page/5/p.jpg","Mörike - Der alte Turmhahn","","1919","Berlin"
"https://portal.dnb.de/bookviewer/view/1236320646/img/page/7/p.jpg","Mörike - Der alte Turmhahn","","1919","Berlin"
"https://portal.dnb.de/bookviewer/view/1236320646/img/page/9/p.jpg","Mörike - Der alte Turmhahn","","1919","Berlin"
